Gene	GSM7465903	GSM7465905	GSM7465907	GSM7465909	GSM7465911	GSM7465913	GSM7465915	GSM7465917	GSM7465919
ABAT	-1.02551848950384	-1.73856784154549	-2.43564143663598	-1.90415350707416	2.15009085148893	3.07429603094894	2.39558053662034	2.05219696898057	2.17308354621127
ABCA1	6.02547287975487	6.51524768311412	6.59504215724235	6.97808359611535	4.30197898046808	3.31397205019252	4.07609439091272	3.53709093227641	4.11094565843497
ABCA10	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-0.0255984186832451	1.4759056211672	-1.01251661582048	-0.982427508535215	-0.744806137861475
ABCA12	-1.56474487729607	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ABCA13	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ABCA2	3.27545532784379	4.09290334846801	3.73008771117579	4.44877626681943	3.63392812529891	3.13437678365236	3.78221671302333	3.94414501182502	3.80567625377781
ABCA3	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	1.36600409320111	0.332684615184713	1.62574311436138	1.32494957618439	0.506461480193896
ABCA4	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ABCA5	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.87519636926526	5.1039249583227	4.07609439091272	3.40718853174645	3.00199508305218
ABCA6	3.08022075348493	3.24575857850172	2.66200921726561	3.51907661062035	-0.235340663129788	-0.880943021696091	-1.79358463967636	-1.60983822020535	1.40940838918604
ABCA7	0.644878337221349	1.71595353515368	0.919599857491377	2.35748192237667	3.80832519293301	3.60686553170813	3.91696783005395	4.10542732365335	4.28868793685003
ABCA8	-0.0727521259744528	2.91335675485823	2.60918104767399	2.1321703224282	0.831864917735458	-2.43564143663598	-1.35082553848561	-1.77627287265135	1.02745268977396
ABCA9	5.52806222313265	5.47969665097538	5.7055302188112	5.41229830303135	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.96444273133989	-0.317064569346572
ABCA9-AS1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ABCB1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.09311874966311	4.69396750889226	5.58347473406511	4.60600985808543	3.27182872674899
ABCB10	2.85436842430526	4.05353940427121	3.8024640676671	4.39897457970773	2.49439386322175	2.96272999498735	2.8746301588	2.99405578966794	2.57326221448232
ABCB11	5.65630211434075	6.14807007584921	6.32916056046559	7.16846037218143	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.18088970646378	-2.43564143663598
ABCB4	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.6539457653686	-1.45827977467599	-2.43564143663598	0.555802312902389	-2.43564143663598
ABCB5	-1.56474487729607	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-0.135849710180666	-1.60983822020535	-2.43564143663598
ABCB6	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	1.03269476902836	1.98025865831922	0.798290471070422	0.951636961415773	1.02745268977396
ABCB7	5.12131352967835	5.24650382750572	5.13873642970344	5.3495929280034	3.50472794083861	3.93711570069898	4.3275850088042	4.02545834202803	4.27340460119633
ABCB8	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.78068400413916	3.91159028894151	3.74924792039152	3.73185414028911	3.64870077856881
ABCB9	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.52803206732762	2.49747212681652	1.47257677949809	2.3435586592867	1.61738733200815
ABCC1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	5.0965389303118	4.30050215351856	5.26760039704571	5.08405952266519	5.55894774071142
ABCC10	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.41767742215795	3.339720368136	3.3844018601639	3.39744640869801	3.27182872674899
